Work directory is: /afs/cern.ch/work/e/egraveri/public/SHiP/HNL-Sensitivity-batch/sandbox
Scanning model 3...
Loaded 13256 previous data points.
Scanning number of events on 149854 phase-space points
Point 21000 of 149854: 	 log10(mass) -0.73 	 log10(U2) -7.1 		 Events: 0.015
Point 21250 of 149854: 	 log10(mass) -0.73 	 log10(U2) -6.2 		 Events: 0.71
Point 21500 of 149854: 	 log10(mass) -0.73 	 log10(U2) -5.4 		 Events: 38.0
Point 21750 of 149854: 	 log10(mass) -0.72 	 log10(U2) -7.7 		 Events: 0.00092
Point 22000 of 149854: 	 log10(mass) -0.72 	 log10(U2) -6.9 		 Events: 0.039
Point 22250 of 149854: 	 log10(mass) -0.72 	 log10(U2) -6.0 		 Events: 1.6
Point 22500 of 149854: 	 log10(mass) -0.71 	 log10(U2) -5.2 		 Events: 92.0
Point 22750 of 149854: 	 log10(mass) -0.71 	 log10(U2) -7.5 		 Events: 0.003
Point 23000 of 149854: 	 log10(mass) -0.71 	 log10(U2) -6.7 		 Events: 0.1
Point 23250 of 149854: 	 log10(mass) -0.7 	 log10(U2) -5.9 		 Events: 4.8
Point 23500 of 149854: 	 log10(mass) -0.7 	 log10(U2) -5.1 		 Events: 230.0
Point 23750 of 149854: 	 log10(mass) -0.7 	 log10(U2) -7.5 		 Events: 0.0044
Point 24000 of 149854: 	 log10(mass) -0.7 	 log10(U2) -6.7 		 Events: 0.2
Point 24250 of 149854: 	 log10(mass) -0.69 	 log10(U2) -5.8 		 Events: 6.3
Point 24500 of 149854: 	 log10(mass) -0.69 	 log10(U2) -5.0 		 Events: 320.0
Point 24750 of 149854: 	 log10(mass) -0.69 	 log10(U2) -7.4 		 Events: 0.0093
Point 25000 of 149854: 	 log10(mass) -0.68 	 log10(U2) -6.6 		 Events: 0.28
Point 25250 of 149854: 	 log10(mass) -0.68 	 log10(U2) -5.8 		 Events: 9.8
Point 25500 of 149854: 	 log10(mass) -0.68 	 log10(U2) -8.3 		 Events: 0.00026
Point 25750 of 149854: 	 log10(mass) -0.67 	 log10(U2) -7.5 		 Events: 0.0064
Point 26000 of 149854: 	 log10(mass) -0.67 	 log10(U2) -6.7 		 Events: 0.28
Point 26250 of 149854: 	 log10(mass) -0.67 	 log10(U2) -5.9 		 Events: 8.0
Point 26500 of 149854: 	 log10(mass) -0.67 	 log10(U2) -5.1 		 Events: 280.0
Point 26750 of 149854: 	 log10(mass) -0.66 	 log10(U2) -7.6 		 Events: 0.0034
Point 27000 of 149854: 	 log10(mass) -0.66 	 log10(U2) -6.8 		 Events: 0.15
Point 27250 of 149854: 	 log10(mass) -0.66 	 log10(U2) -6.0 		 Events: 4.8
Point 27500 of 149854: 	 log10(mass) -0.65 	 log10(U2) -5.3 		 Events: 200.0
Point 27750 of 149854: 	 log10(mass) -0.65 	 log10(U2) -7.8 		 Events: 0.0019
Point 28000 of 149854: 	 log10(mass) -0.65 	 log10(U2) -7.0 		 Events: 0.067
Point 28250 of 149854: 	 log10(mass) -0.65 	 log10(U2) -6.2 		 Events: 2.5
Point 28500 of 149854: 	 log10(mass) -0.64 	 log10(U2) -5.5 		 Events: 90.0
Point 28750 of 149854: 	 log10(mass) -0.64 	 log10(U2) -8.0 		 Events: 0.00088
Point 29000 of 149854: 	 log10(mass) -0.64 	 log10(U2) -7.3 		 Events: 0.024
Point 29250 of 149854: 	 log10(mass) -0.63 	 log10(U2) -6.5 		 Events: 0.7
Point 29500 of 149854: 	 log10(mass) -0.63 	 log10(U2) -5.8 		 Events: 17.0
Point 29750 of 149854: 	 log10(mass) -0.63 	 log10(U2) -8.3 		 Events: 0.00024
Point 30000 of 149854: 	 log10(mass) -0.62 	 log10(U2) -7.6 		 Events: 0.0078
Point 30250 of 149854: 	 log10(mass) -0.62 	 log10(U2) -6.9 		 Events: 0.22
Point 30500 of 149854: 	 log10(mass) -0.62 	 log10(U2) -6.2 		 Events: 4.8
Point 30750 of 149854: 	 log10(mass) -0.62 	 log10(U2) -5.4 		 Events: 170.0
Point 31000 of 149854: 	 log10(mass) -0.61 	 log10(U2) -8.0 		 Events: 0.0011
Point 31250 of 149854: 	 log10(mass) -0.61 	 log10(U2) -7.3 		 Events: 0.15
Point 31500 of 149854: 	 log10(mass) -0.61 	 log10(U2) -6.6 		 Events: 4.9
Point 31750 of 149854: 	 log10(mass) -0.6 	 log10(U2) -5.9 		 Events: 99.0
Point 32000 of 149854: 	 log10(mass) -0.6 	 log10(U2) -8.5 		 Events: 0.0002
Point 32250 of 149854: 	 log10(mass) -0.6 	 log10(U2) -7.8 		 Events: 0.025
Point 32500 of 149854: 	 log10(mass) -0.6 	 log10(U2) -7.1 		 Events: 0.49
Point 32750 of 149854: 	 log10(mass) -0.59 	 log10(U2) -6.4 		 Events: 12.0
Point 33000 of 149854: 	 log10(mass) -0.59 	 log10(U2) -5.7 		 Events: 350.0
Point 33250 of 149854: 	 log10(mass) -0.59 	 log10(U2) -8.3 		 Events: 0.0012
Point 33500 of 149854: 	 log10(mass) -0.58 	 log10(U2) -7.6 		 Events: 0.028
Point 33750 of 149854: 	 log10(mass) -0.58 	 log10(U2) -6.9 		 Events: 0.87
Point 34000 of 149854: 	 log10(mass) -0.58 	 log10(U2) -6.3 		 Events: 22.0
Point 34250 of 149854: 	 log10(mass) -0.58 	 log10(U2) -5.6 		 Events: 380.0
Point 34500 of 149854: 	 log10(mass) -0.57 	 log10(U2) -8.2 		 Events: 0.0015
Point 34750 of 149854: 	 log10(mass) -0.57 	 log10(U2) -7.6 		 Events: 0.037
Point 35000 of 149854: 	 log10(mass) -0.57 	 log10(U2) -6.9 		 Events: 0.87
Point 35250 of 149854: 	 log10(mass) -0.56 	 log10(U2) -6.2 		 Events: 22.0
Point 35500 of 149854: 	 log10(mass) -0.56 	 log10(U2) -5.6 		 Events: 380.0
Point 35750 of 149854: 	 log10(mass) -0.56 	 log10(U2) -8.3 		 Events: 0.0026
Point 36000 of 149854: 	 log10(mass) -0.56 	 log10(U2) -7.6 		 Events: 0.061
Point 36250 of 149854: 	 log10(mass) -0.55 	 log10(U2) -7.0 		 Events: 1.2
Point 36500 of 149854: 	 log10(mass) -0.55 	 log10(U2) -6.3 		 Events: 21.0
Point 36750 of 149854: 	 log10(mass) -0.55 	 log10(U2) -5.7 		 Events: 400.0
Point 37000 of 149854: 	 log10(mass) -0.54 	 log10(U2) -8.4 		 Events: 0.0025
Point 37250 of 149854: 	 log10(mass) -0.54 	 log10(U2) -7.8 		 Events: 0.046
Point 37500 of 149854: 	 log10(mass) -0.54 	 log10(U2) -7.2 		 Events: 1.0
Point 37750 of 149854: 	 log10(mass) -0.54 	 log10(U2) -6.5 		 Events: 19.0
Point 38000 of 149854: 	 log10(mass) -0.53 	 log10(U2) -5.9 		 Events: 350.0
Point 38250 of 149854: 	 log10(mass) -0.53 	 log10(U2) -8.6 		 Events: 0.0013
Point 38500 of 149854: 	 log10(mass) -0.53 	 log10(U2) -8.0 		 Events: 0.02
Point 38750 of 149854: 	 log10(mass) -0.52 	 log10(U2) -7.4 		 Events: 0.34
Point 39000 of 149854: 	 log10(mass) -0.52 	 log10(U2) -6.8 		 Events: 6.6
Point 39250 of 149854: 	 log10(mass) -0.52 	 log10(U2) -6.2 		 Events: 99.0
Point 39500 of 149854: 	 log10(mass) -0.52 	 log10(U2) -5.6 		 Events: 1700.0
Point 39750 of 149854: 	 log10(mass) -0.51 	 log10(U2) -8.4 		 Events: 0.0056
Point 40000 of 149854: 	 log10(mass) -0.51 	 log10(U2) -7.8 		 Events: 0.07
Point 40250 of 149854: 	 log10(mass) -0.51 	 log10(U2) -7.2 		 Events: 1.8
Point 40500 of 149854: 	 log10(mass) -0.51 	 log10(U2) -6.6 		 Events: 21.0
Point 40750 of 149854: 	 log10(mass) -0.5 	 log10(U2) -6.0 		 Events: 260.0
Point 41000 of 149854: 	 log10(mass) -0.5 	 log10(U2) -8.8 		 Events: 0.0011
Point 41250 of 149854: 	 log10(mass) -0.5 	 log10(U2) -8.2 		 Events: 0.015
Point 41500 of 149854: 	 log10(mass) -0.49 	 log10(U2) -7.7 		 Events: 0.16
Point 41750 of 149854: 	 log10(mass) -0.49 	 log10(U2) -7.1 		 Events: 2.4
Point 42000 of 149854: 	 log10(mass) -0.49 	 log10(U2) -6.5 		 Events: 39.0
Point 42250 of 149854: 	 log10(mass) -0.49 	 log10(U2) -5.9 		 Events: 800.0
Point 42500 of 149854: 	 log10(mass) -0.48 	 log10(U2) -8.8 		 Events: 0.0012
Point 42750 of 149854: 	 log10(mass) -0.48 	 log10(U2) -8.2 		 Events: 0.017
Point 43000 of 149854: 	 log10(mass) -0.48 	 log10(U2) -7.7 		 Events: 0.24
Point 43250 of 149854: 	 log10(mass) -0.47 	 log10(U2) -7.1 		 Events: 3.2
Point 43500 of 149854: 	 log10(mass) -0.47 	 log10(U2) -6.5 		 Events: 55.0
Point 43750 of 149854: 	 log10(mass) -0.47 	 log10(U2) -6.0 		 Events: 800.0
Point 44000 of 149854: 	 log10(mass) -0.46 	 log10(U2) -8.9 		 Events: 0.00088
Point 44250 of 149854: 	 log10(mass) -0.46 	 log10(U2) -8.3 		 Events: 0.011
Point 44500 of 149854: 	 log10(mass) -0.46 	 log10(U2) -7.8 		 Events: 0.15
Point 44750 of 149854: 	 log10(mass) -0.46 	 log10(U2) -7.2 		 Events: 2.1
Point 45000 of 149854: 	 log10(mass) -0.46 	 log10(U2) -6.7 		 Events: 30.0
Point 45250 of 149854: 	 log10(mass) -0.45 	 log10(U2) -6.2 		 Events: 290.0
Point 45500 of 149854: 	 log10(mass) -0.45 	 log10(U2) -9.1 		 Events: 0.00064
Point 45750 of 149854: 	 log10(mass) -0.45 	 log10(U2) -8.6 		 Events: 0.005
Point 46000 of 149854: 	 log10(mass) -0.44 	 log10(U2) -8.1 		 Events: 0.063
Point 46250 of 149854: 	 log10(mass) -0.44 	 log10(U2) -7.5 		 Events: 0.69
Point 46500 of 149854: 	 log10(mass) -0.44 	 log10(U2) -7.0 		 Events: 7.5
Point 46750 of 149854: 	 log10(mass) -0.44 	 log10(U2) -6.5 		 Events: 96.0
Point 47000 of 149854: 	 log10(mass) -0.43 	 log10(U2) -6.0 		 Events: 970.0
Point 47250 of 149854: 	 log10(mass) -0.43 	 log10(U2) -9.0 		 Events: 0.0011
Point 47500 of 149854: 	 log10(mass) -0.43 	 log10(U2) -8.5 		 Events: 0.01
Point 47750 of 149854: 	 log10(mass) -0.42 	 log10(U2) -8.0 		 Events: 0.14
Point 48000 of 149854: 	 log10(mass) -0.42 	 log10(U2) -7.5 		 Events: 1.2
Point 48250 of 149854: 	 log10(mass) -0.42 	 log10(U2) -7.0 		 Events: 16.0
Point 48500 of 149854: 	 log10(mass) -0.42 	 log10(U2) -6.5 		 Events: 150.0
Point 48750 of 149854: 	 log10(mass) -0.41 	 log10(U2) -6.0 		 Events: 1000.0
Point 49000 of 149854: 	 log10(mass) -0.41 	 log10(U2) -9.0 		 Events: 0.0011
Point 49250 of 149854: 	 log10(mass) -0.41 	 log10(U2) -8.5 		 Events: 0.013
Point 49500 of 149854: 	 log10(mass) -0.41 	 log10(U2) -8.0 		 Events: 0.087
Point 49750 of 149854: 	 log10(mass) -0.4 	 log10(U2) -7.6 		 Events: 1.3
Point 50000 of 149854: 	 log10(mass) -0.4 	 log10(U2) -7.1 		 Events: 10.0
Point 50250 of 149854: 	 log10(mass) -0.4 	 log10(U2) -6.6 		 Events: 81.0
Point 50500 of 149854: 	 log10(mass) -0.4 	 log10(U2) -6.1 		 Events: 770.0
Point 50750 of 149854: 	 log10(mass) -0.39 	 log10(U2) -9.2 		 Events: 0.0006
Point 51000 of 149854: 	 log10(mass) -0.39 	 log10(U2) -8.7 		 Events: 0.0069
Point 51250 of 149854: 	 log10(mass) -0.39 	 log10(U2) -8.3 		 Events: 0.045
